icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J004705.9+031954,11.77466132,3.33188490,0.1074,-0.0340,0.1126,107.56,0.1158,0.2397,-0.368,0.491,0.944,0.938,,,,
ICRF J004743.8+243515,11.93279734,24.58777599,-7.1170,4.4247,8.3803,301.87,3.4837,2.2537,-0.255,0.207,3.180,2.833,,,,
ICRF J004847.1+315725,12.19642283,31.95696794,10.1087,-40.6618,41.8995,166.04,1.0018,0.6325,-0.155,-0.117,64.338,65.074,,,,
ICRF J004858.7+064006,12.24467957,6.66846470,1.4968,2.4375,2.8603,31.55,0.3774,0.3322,-0.074,0.465,7.773,8.341,,,,
ICRF J004922.9-311627,12.34542028,-31.27425684,-0.0242,0.7027,0.7032,358.03,0.2259,0.5133,-0.624,0.082,1.604,1.373,,,,
ICRF J004937.9+512813,12.40829673,51.47047009,-0.3550,-0.2595,0.4397,233.83,0.3554,0.3041,-0.047,-0.486,1.786,1.314,,,,
ICRF J004943.2+023703,12.43014975,2.61771628,0.0561,-0.1235,0.1357,155.56,0.1457,0.1120,-0.141,0.429,1.255,1.168,,,,
ICRF J004959.4-573827,12.49780433,-57.64092776,-0.0949,0.1508,0.1782,327.82,0.1104,0.1320,0.212,-0.190,1.495,1.430,,,,
ICRF J005021.5-045220,12.58972828,-4.87238752,-0.1806,0.0181,0.1815,275.74,0.1560,0.2177,0.076,0.456,1.197,1.160,,,,
ICRF J005041.3-092905,12.67215576,-9.48478065,-0.0869,0.0652,0.1086,306.87,0.0464,0.0386,-0.050,0.506,2.811,2.522,354.0,137.0,47.13,47.13
ICRF J005108.2-065002,12.78420759,-6.83395257,-0.4600,0.0232,0.4605,272.88,0.2566,0.2237,-0.215,0.493,1.924,1.796,330.0,3.0,57.12,57.12
ICRF J005109.5-422633,12.78959092,-42.44258149,0.1743,-0.0794,0.1915,114.49,0.1063,0.1014,-0.037,-0.373,1.670,1.817,,,,
ICRF J005136.4+445935,12.90197398,44.99332181,0.4316,0.1206,0.4481,74.39,0.2560,0.2264,0.025,-0.194,1.839,1.768,,,,
ICRF J005205.5+003538,13.02320419,0.59393022,0.1626,0.2882,0.3309,29.44,0.2165,0.3342,-0.383,0.480,1.436,1.144,,,,
ICRF J005227.8+440254,13.11594110,44.04847673,0.8916,0.5428,1.0438,58.67,0.1533,0.1506,-0.023,-0.162,7.089,6.841,,,,
ICRF J005232.8+862744,13.13690264,86.46229228,-0.6948,-0.2141,0.7270,252.87,0.3084,0.3053,-0.171,0.052,2.340,2.359,,,,
ICRF J005252.5-282554,13.21898499,-28.43171807,-2.9155,2.3594,3.7506,308.98,0.1984,0.3876,-0.233,0.217,15.288,15.904,,,,
ICRF J005344.3+292507,13.43468124,29.41863885,-0.3419,0.2143,0.4035,302.08,0.1179,0.1684,-0.183,0.288,3.074,3.167,,,,
ICRF J005417.6+705356,13.57368767,70.89906063,-0.3581,-0.2220,0.4213,238.21,0.5747,0.5692,0.119,0.115,0.701,0.735,,,,
ICRF J005655.2+162513,14.23039304,16.42037248,0.0447,0.0181,0.0483,68.03,0.5728,0.3381,-0.016,0.013,0.094,0.095,,,,
ICRF J005717.0-002433,14.32084254,-0.40921596,0.2701,0.2227,0.3501,50.49,0.2586,0.2699,-0.186,0.357,1.234,1.331,,,,
ICRF J005734.9-012327,14.39543526,-1.39098527,-45.5412,-30.4866,54.8035,236.20,30.7094,13.7411,-0.769,0.868,2.297,2.669,,,,
ICRF J005748.8+302108,14.45368060,30.35244776,-314.4297,30.1069,315.8678,275.47,17.6288,12.0651,-0.384,0.213,18.964,18.010,311.0,9.0,35.53,35.53
ICRF J005802.2-323420,14.50929297,-32.57243069,-0.0772,0.6278,0.6325,352.99,0.1641,0.3802,-0.364,0.062,1.654,1.717,,,,
ICRF J005805.0-053952,14.52110962,-5.66452170,0.0204,0.0174,0.0269,49.50,0.1437,0.1010,-0.061,0.504,0.190,0.224,,,,
ICRF J005815.6-334757,14.56517420,-33.79930393,0.1371,0.0284,0.1400,78.28,0.3487,0.4859,-0.354,-0.019,0.410,0.398,,,,
ICRF J005832.0+331117,14.63362090,33.18811512,-7.2364,-2.1566,7.5509,253.40,69.0126,13.8238,0.040,0.911,0.180,0.188,,,,
ICRF J005833.8+062006,14.64085239,6.33502039,-0.3575,-0.0797,0.3663,257.43,0.5344,0.3395,0.006,0.132,0.688,0.709,,,,
ICRF J005846.5-565911,14.69408810,-56.98651955,0.3308,-0.1896,0.3812,119.82,0.1272,0.2213,-0.081,-0.088,2.681,2.738,,,,
ICRF J005905.5+000651,14.77297887,0.11433908,-0.1541,0.7532,0.7688,348.44,0.1282,0.1508,-0.249,0.331,5.052,5.137,,,,
ICRF J005952.2+581223,14.96753742,58.20657862,0.2147,-0.1083,0.2405,116.77,0.1748,0.1925,0.224,-0.284,1.331,1.351,,,,
ICRF J010009.3-333731,15.03912903,-33.62553829,-233.8529,-183.4799,297.2407,231.88,0.5492,0.4590,-0.295,-0.282,658.251,584.048,,,,
ICRF J010038.2+334506,15.15954467,33.75170041,-0.4463,0.5761,0.7287,322.23,0.3792,0.3965,0.074,0.166,2.021,1.870,,,,
ICRF J010051.6+680820,15.21526621,68.13903640,8.1481,3.9094,9.0374,64.37,5.7082,5.2148,-0.070,-0.047,1.645,1.612,,,,
ICRF J010114.6+060544,15.31112562,6.09569563,0.7903,0.8829,1.1849,41.83,1.3814,0.8667,-0.214,0.247,1.095,1.168,,,,
