jname,mjd,size,dnudot,refs,is_new
B1325-43,43590.0,116.0,nan,Newton+1981 [nmc81],True
B1338-62,47989.0,1509.0,0.2,Wang+2000 [wmp+00],False
B1338-62,48453.0,23.0,-0.5,Wang+2000 [wmp+00],False
B1338-62,48645.0,996.0,0.7,Wang+2000 [wmp+00],False
B1338-62,49134.0,13.0,0.6,Wang+2000 [wmp+00],False
B1338-62,49363.0,146.0,0.7,Wang+2000 [wmp+00],False
B1338-62,49523.0,37.0,-0.6,Wang+2000 [wmp+00],False
B1338-62,49766.0,15.0,-0.3,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,49904.0,31.0,-1.9,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,50008.0,1648.0,3.3,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,50322.0,30.0,0.6,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,50529.0,23.0,1.0,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,50683.0,708.0,1.2,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1338-62,51144.0,170.0,nan,Yu+2012 [ymh+12],False
B1338-62,51617.0,1121.5,nan,Yu+2012 [ymh+12],False
B1338-62,52093.0,480.0,nan,Yu+2012 [ymh+12],False
B1338-62,52250.0,454.5,nan,Yu+2012 [ymh+12],False
B1338-62,52788.0,219.2,-8.3,Yu+2012 [ymh+12],False
B1338-62,53232.0,277.0,nan,Yu+2012 [ymh+12],False
B1338-62,53471.0,985.0,nan,Yu+2012 [ymh+12],False
B1338-62,54128.0,194.0,5.0,Yu+2012 [ymh+12],False
B1338-62,54468.0,3078.2,nan,"Weltevrede+2010 [wjs10], also in Yu+2012 [ymh+12]",False
B1338-62,54870.0,3066.7,nan,"Weltevrede+2010 [wjs10], also in Yu+2012 [ymh+12]",False
B1338-62,55088.0,1579.0,nan,Yu+2012 [ymh+12],False
B1338-62,55484.0,2.4,0.49,Lower+2021 [ljd+21],False
B1338-62,55835.0,329.0,0.98,Lower+2021 [ljd+21],False
B1338-62,56098.0,151.2,0.22,Lower+2021 [ljd+21],False
B1338-62,56386.0,96.0,nan,Lower+2021 [ljd+21],False
B1338-62,56479.0,37.0,nan,Lower+2021 [ljd+21],False
B1338-62,56602.0,1709.7,1.06,Lower+2021 [ljd+21],False
B1338-62,57357.0,28.7,0.25,Lower+2021 [ljd+21],False
B1338-62,57492.0,21.7,0.8,Lower+2021 [ljd+21],False
