name,gaia_id,epoch,ra_prop,dec_prop,epoch_mjd,band_mhz,i_mjy,e_i,v_mjy,e_v,n_products,note
CNS5 5161,6882963066420161664,mid2,313.135271,-16.974460,60894.63677,1367.5,0.4313,0.1737,-0.1096,0.1530,8,offset_arcsec=8.13
CNS5 4601,2091177593123254016,mid1,278.907328,32.993737,59217.12135,1367.5,0.6522,0.2207,0.1450,0.1712,4,offset_arcsec=3.21
CNS5 4601,2091177593123254016,mid2,278.907233,32.992909,60658.18281,1367.5,0.4531,0.2047,0.1902,0.1822,6,offset_arcsec=3.41
CNS5 1375,3209938366665770752,mid1,82.868606,-3.689448,59223.62547,1367.5,0.3954,0.2167,0.1460,0.1835,4,offset_arcsec=7.09
CNS5 1375,3209938366665770752,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('You do not have access to any of the requested data files.')
CNS5 3707,6305165514134625024,mid1,224.976666,-18.537771,59287.79938,1367.5,0.5218,0.2528,0.1236,0.2238,6,offset_arcsec=11.38
CNS5 3707,6305165514134625024,mid2,224.976678,-18.537783,60894.46101,1367.5,0.5635,0.2430,-0.1543,0.2256,4,offset_arcsec=8.78
CNS5 1528,2940856402123426176,mid1,92.643374,-21.868833,59235.61504,1367.5,0.1798,0.1533,-0.0270,0.1345,2,offset_arcsec=11.56
CNS5 1528,2940856402123426176,mid2,92.643222,-21.869582,60603.88381,1367.5,nan,nan,nan,nan,6,offset_arcsec=nan
CNS5 1415,3340477717172813568,mid1,85.550575,12.480160,59231.54188,1367.5,0.1863,0.1695,-0.1488,0.1342,2,offset_arcsec=7.53
CNS5 1415,3340477717172813568,mid2,85.552736,12.478502,60620.81059,1367.5,nan,nan,nan,nan,4,offset_arcsec=nan
CNS5 4403,5918660719983560192,mid1,266.630578,-57.326938,59210.13309,1367.5,0.3990,0.1643,0.0461,0.1415,2,offset_arcsec=7.92
CNS5 4403,5918660719983560192,mid2,266.628294,-57.328433,60662.19298,1367.5,0.3041,0.1999,-0.1360,0.1991,4,offset_arcsec=8.81
CNS5 5871,2739689239311660672,mid1,357.307987,2.395570,59218.42032,1367.5,0.3906,0.2739,0.1228,0.2677,10,offset_arcsec=11.19
CNS5 5871,2739689239311660672,mid2,nan,nan,nan,nan,nan,nan,nan,nan,10,"FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('operands could not be broadcast together with shapes (92,92) (91,91) ')"
CNS5 4800,6663600360560306560,mid1,290.205419,-45.575116,59209.24083,1367.5,0.3161,0.1789,-0.2099,0.1553,2,offset_arcsec=11.38
CNS5 4800,6663600360560306560,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('You do not have access to any of the requested data files.')
CNS5 4779,4293318823182081408,mid1,289.226834,5.161103,59236.17907,1367.5,0.4273,0.1945,0.2418,0.1522,2,offset_arcsec=8.92
CNS5 4779,4293318823182081408,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,"FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('operands could not be broadcast together with shapes (92,92) (91,91) ')"
CNS5 4780,4293315765165489536,mid1,289.236529,5.142454,59236.17907,1367.5,0.5493,0.2013,-0.4053,0.1468,2,offset_arcsec=10.43
CNS5 4780,4293315765165489536,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,"FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('operands could not be broadcast together with shapes (92,92) (91,91) ')"
CNS5 3826,6002807341299977216,mid1,233.044722,-41.281627,59240.98410,1367.5,0.4280,0.1567,0.1452,0.1481,2,offset_arcsec=5.64
CNS5 3826,6002807341299977216,mid2,233.042746,-41.282928,60900.40784,1367.5,0.3008,0.1730,-0.1654,0.1617,2,offset_arcsec=8.85
CNS5 1909,3136952686035250688,mid1,116.165347,3.549860,59231.63865,1367.5,1.3796,0.6100,-0.2094,0.5747,4,offset_arcsec=9.42
CNS5 1909,3136952686035250688,mid2,116.164979,3.549388,60621.89094,1367.5,nan,nan,nan,nan,6,offset_arcsec=nan
CNS5 1784,946632924007399936,mid1,107.504363,38.523957,59215.66526,1367.5,0.5044,0.2095,0.0421,0.1692,4,offset_arcsec=11.45
CNS5 1784,946632924007399936,mid2,107.503771,38.522960,60601.91936,1367.5,0.3378,0.2807,-0.0267,0.2540,6,offset_arcsec=6.71
CNS5  405,2572901021957789568,mid1,24.242996,9.563048,59217.47640,1367.5,0.4619,0.2120,0.1243,0.1646,4,offset_arcsec=8.20
CNS5  405,2572901021957789568,mid2,24.244414,9.563030,60701.40376,1367.5,0.6173,0.2466,-0.3546,0.1841,4,offset_arcsec=6.07
CNS5 5017,6673000841376349696,mid1,303.478922,-45.164952,59213.23872,1367.5,0.4318,0.1586,-0.1322,0.1309,2,offset_arcsec=7.63
CNS5 5017,6673000841376349696,mid2,303.480111,-45.165125,60629.39653,1367.5,0.3257,0.1689,0.0079,0.1534,2,offset_arcsec=11.21
CNS5 3614,6324325225803432320,mid1,218.567915,-12.516081,59257.84269,1367.5,0.5472,0.3514,0.6183,0.3370,4,offset_arcsec=10.39
CNS5 3614,6324325225803432320,mid2,218.567526,-12.515448,60661.03062,1367.5,0.3884,0.2296,-0.2786,0.2205,4,offset_arcsec=4.34
