# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
29.53606,-30.31187,flat,,-0.387,0.080,-0.417,2.81,22
30.41183,-31.50817,steep,141.9,-0.747,0.272,-1.656,3.20,18
29.99451,-27.36138,nan,,,,-1.249,,3
29.40943,-32.12066,steep,,-0.759,0.003,-0.903,12.49,22
31.29732,-29.52739,nan,907544.2,0.161,1.816,,0.26,6
27.66377,-28.21265,steep,,-0.882,0.013,-1.271,1.84,22
30.99460,-29.10727,uss,7665.3,-1.251,0.071,-1.453,2.01,22
27.23058,-30.59433,inverted,17893.1,-1.127,0.102,0.348,5.51,22
27.30301,-30.71223,steep,,-0.752,0.142,-1.017,0.47,21
31.49423,-30.32043,steep,98.9,-1.301,0.717,-0.963,17.26,8
26.99582,-30.07246,nan,520.4,-1.517,0.661,,0.32,5
31.65143,-28.00855,steep,0.1,-0.861,0.084,-1.906,2.41,22
31.50387,-31.71923,flat,8684.8,-0.765,0.254,-0.425,1.14,18
32.18401,-28.60417,nan,0.6,-0.940,0.594,,0.51,8
28.00533,-31.56824,steep,,-0.889,0.079,-0.945,1.53,22
29.54354,-31.21452,steep,,-0.993,0.172,-1.538,2.42,20
30.02073,-30.09458,steep,46790.7,-0.560,0.123,-0.531,1.04,21
30.26708,-29.05413,steep,23.8,-1.042,0.183,-2.031,2.93,19
31.67711,-28.49036,steep,219294.7,-1.011,0.057,-0.873,1.79,22
29.50584,-28.74635,nan,0.6,-1.229,0.213,,2.43,17
28.93726,-29.63934,flat,,-0.494,0.052,-0.743,0.93,22
29.21101,-30.18097,nan,3829131.6,-0.545,0.256,,0.57,17
32.69765,-29.37119,nan,,,,-1.169,,3
32.05168,-29.90066,steep,63.0,-0.624,0.145,-2.379,13.64,21
31.67996,-28.64686,flat,9.0,-0.425,0.150,-0.824,1.76,21
28.98572,-31.89138,nan,,,,-0.398,,3
30.66554,-29.03862,nan,524.7,-1.016,0.425,,2.28,12
28.45091,-28.57155,steep,135.4,-0.706,0.254,-1.804,2.73,16
28.86944,-31.46428,steep,3.3,-0.612,0.157,-1.030,1.99,20
32.42265,-30.89576,nan,14433.3,-0.664,0.188,,1.04,19
29.22927,-30.50299,steep,,-0.572,0.033,-0.888,0.81,22
27.55414,-28.58857,flat,1916.0,-1.078,0.173,-0.410,1.41,21
31.82545,-32.13540,steep,5389.3,-1.396,0.202,-0.994,2.08,17
29.09537,-30.36785,flat,1363.8,-1.358,0.308,-0.442,1.49,12
31.27899,-31.82737,steep,672701.3,-0.672,0.008,-0.599,5.14,22
28.78186,-31.96014,flat,1346.4,-2.311,0.100,-0.396,20.89,17
30.95234,-32.67762,steep,,-0.744,0.068,-1.180,1.49,22
30.87943,-31.91143,flat,333.0,-0.268,0.658,-1.590,1.44,11
28.88185,-30.76416,steep,37491417.7,-0.848,0.064,-1.187,2.03,22
30.92433,-27.19753,steep,10.7,-1.199,0.136,-2.990,5.57,22
32.09895,-28.22635,nan,,-0.911,0.161,,1.76,18
29.72135,-27.60246,steep,1.5,-0.698,0.001,-1.014,190.16,22
32.24791,-29.61083,steep,263052.2,-0.731,0.078,-0.642,1.58,22
30.29294,-29.35333,steep,,-0.868,0.021,-1.146,2.43,22
29.25820,-30.57008,steep,627504.1,-0.946,0.019,-0.974,1.31,22
28.63278,-32.53667,nan,32964.0,-1.394,0.047,,1.45,20
29.13092,-32.48204,steep,0.5,-0.665,0.199,-1.061,1.79,20
29.09496,-27.59887,steep,132624043.7,-1.184,0.120,-1.830,4.13,22
28.53704,-28.81152,peaked,114.3,0.611,0.299,-0.712,2.25,15
32.20643,-28.14676,flat,32.4,-0.455,0.151,-1.101,1.75,20
32.46256,-30.91631,nan,302.7,-0.748,1.770,,0.67,5
32.42435,-30.21320,steep,109.3,-0.742,0.255,-1.794,1.32,19
31.30426,-32.74884,steep,15187.4,-0.634,0.090,-0.527,1.60,22
30.68068,-32.23002,steep,35.4,-0.760,0.237,-1.236,1.44,18
27.08801,-31.43048,steep,29.8,-0.842,0.238,-1.776,1.73,12
32.51579,-30.67428,steep,0.0,-0.997,0.124,-1.446,1.43,22
30.91234,-31.08477,steep,,-1.150,0.036,-1.186,1.72,22
28.57757,-31.68873,steep,11333.5,-0.909,0.070,-0.985,3.09,22
27.86858,-28.83827,steep,290582.2,-0.628,0.028,-1.019,2.11,22
29.98240,-29.47218,peaked,294.7,0.507,0.242,-1.024,1.41,16
31.18065,-27.45579,steep,761058.5,-1.156,0.102,-1.834,3.10,22
29.64225,-32.50441,steep,149.9,-0.651,0.176,-2.910,4.84,21
33.17882,-29.58252,nan,,-1.023,0.197,,0.99,18
28.31217,-32.62159,nan,,,,-0.721,,3
31.41241,-29.11407,steep,3.0,-1.040,0.312,-1.065,0.90,17
27.33686,-28.83336,flat,2805.9,-0.906,0.239,-0.211,0.60,18
28.64636,-27.55175,flat,2192.1,-1.329,0.380,-0.430,1.15,9
29.36754,-28.70387,inverted,1013.0,-0.854,0.484,0.418,2.34,12
30.66867,-29.55623,steep,55.5,-0.772,0.661,-1.214,0.53,8
31.28262,-27.68132,uss,0.1,-1.221,0.181,-2.012,4.21,16
30.74207,-31.12772,steep,290.3,-0.648,0.380,-2.452,3.04,13
28.81300,-28.21178,steep,230424262.5,-0.705,0.149,-0.678,1.70,22
30.53136,-27.49194,steep,197.5,-1.006,0.371,-1.592,2.11,13
31.81251,-31.23929,steep,0.8,-0.740,0.410,-0.697,0.35,13
27.64850,-30.46470,steep,8362.3,-0.823,0.094,-0.651,1.00,22
31.36475,-28.60333,nan,993.9,-0.936,0.288,,1.36,15
31.92543,-27.80371,steep,947094.9,-0.733,0.042,-0.831,1.84,22
29.35649,-29.02950,steep,1819554.5,-0.683,0.037,-0.898,2.14,22
30.37588,-31.81750,steep,3709.2,-1.310,0.146,-0.696,1.37,20
30.98629,-29.49158,peaked,253.3,0.540,0.055,-1.167,3.13,21
33.08162,-30.28529,nan,,,,-0.607,,3
30.50049,-31.32582,flat,14.6,-0.374,0.137,-0.709,1.55,21
29.84600,-28.94350,steep,,-0.876,0.093,-1.222,1.53,22
30.80249,-31.79703,steep,,-0.833,0.003,-0.935,21.64,22
26.65460,-30.77635,flat,2947.9,-1.328,0.238,-0.457,1.67,14
28.91773,-29.74794,peaked,551.6,2.095,0.391,-1.148,1.91,12
28.69594,-29.73911,peaked,203.0,0.667,0.930,-1.009,0.22,8
30.20793,-31.92232,steep,4306876.0,-1.122,0.053,-1.424,2.41,22
32.19825,-29.95067,steep,2.5,-0.739,0.105,-1.101,1.22,22
29.38092,-29.26486,nan,135.7,0.807,1.862,,0.21,5
32.48694,-29.60815,steep,23928.9,-1.125,0.766,-0.637,3.13,9
29.91122,-30.37688,uss,,-1.217,0.002,-1.444,45.90,22
30.50946,-29.38987,steep,,-0.588,0.064,-1.105,1.39,22
31.73020,-32.00133,steep,0.0,-1.162,0.007,-1.655,5.88,22
30.84499,-31.44713,steep,29.5,-0.723,0.209,-1.396,1.48,20
32.70069,-28.97248,steep,14624.8,-0.901,0.114,-0.760,0.95,22
27.28222,-31.72474,steep,6543249.8,-0.832,0.096,-0.724,1.03,22
32.33161,-29.86619,flat,,-0.323,0.233,-0.339,0.79,18
31.15421,-27.63796,uss,,-1.359,0.015,-1.564,2.12,22
29.74960,-27.22830,flat,1537.7,-0.279,0.024,-0.648,3.67,22
30.30428,-32.11335,extended,685.4,0.457,0.634,-0.200,0.93,12
26.93717,-29.17668,nan,0.3,-0.688,0.139,,2.83,20
28.44246,-31.88001,peaked,129.6,-0.087,0.013,-0.882,3.37,22
27.58907,-31.15298,nan,,,,-1.215,,3
33.16806,-29.05330,nan,1006.9,-1.070,0.217,,2.72,17
30.18973,-30.40470,steep,7931.7,-1.029,0.175,-0.782,1.59,20
28.85548,-31.07331,steep,97.0,-1.143,0.261,-1.996,3.39,14
32.42326,-29.52246,nan,,,,-0.528,,3
28.95009,-27.86841,flat,64.6,-0.392,0.011,-1.537,3.99,22
30.21674,-30.37489,nan,,-1.302,0.191,,2.63,17
31.72465,-29.23220,steep,789146.5,-0.893,0.094,-0.874,1.20,22
31.88683,-29.45719,flat,326193.9,-0.427,0.783,-0.428,0.46,10
30.57832,-28.94338,steep,,-0.577,0.014,-0.659,3.11,22
32.00195,-29.30003,steep,37.0,-0.624,0.090,-2.146,10.42,22
30.37093,-27.11348,nan,,,,-2.899,,3
27.08814,-30.68202,steep,,-0.847,0.034,-1.170,1.47,22
28.27934,-27.57745,flat,101.1,-0.209,0.092,-1.293,1.37,22
27.35143,-28.34398,steep,249147.6,-1.193,0.049,-1.186,4.15,22
32.08936,-30.44136,steep,0.0,-0.602,0.116,-0.896,1.35,22
32.27531,-29.79645,steep,360898.3,-0.816,0.059,-1.033,2.14,22
30.01481,-28.14626,flat,1824.3,-0.530,0.244,-0.206,0.97,16
28.06539,-31.57289,steep,6487.5,-0.756,0.046,-0.586,0.78,22
30.96244,-28.78091,steep,68927.4,-0.710,0.029,-1.615,5.13,22
